IRI 	 Label 	 Definition
http://purl.org/utmb/ndkg.owl#KGN_0000079	Atmospheric Conditions	The atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation.
http://purl.org/utmb/ndkg.owl#KGN_0000078	EVA Task Timeline	Planning duration and quantity of tasks to ensure activities to be performed during an extravehicular activity are feasible and appropriate.
http://purl.org/utmb/ndkg.owl#KGN_0000077	EVA (Risk)	Risk of Injury and Compromised Performance Due to EVA Operations.
http://purl.org/utmb/ndkg.owl#KGN_0000198	Ultrasound Manipulation	Treatment modality to aid in movement of a renal stone either before it enters the ureter or moving it out of the ureter thus decreasing time of symptoms.
http://purl.obolibrary.org/obo/OMIT_0003405	Burns	"Tissue injury resulting from excessive exposure to thermal, chemical, electrical, or radioactive agents."
http://purl.allotrope.org/ontologies/process#AFP_0002683	Dust Removal	Elimination of dust from the airborne region of the habitat.
http://purl.obolibrary.org/obo/NCIT_C459	Medications	"A pharmaceutical or other substance used for medical diagnosis, prevention, or treatment."
http://purl.obolibrary.org/obo/OMIT_0006920	Gamma Rays	"Gamma rays have the smallest wavelengths and the most energy of any wave in the electromagnetic spectrum. They are produced by the hottest and most energetic objects in the universe, such as neutron stars and pulsars, supernova explosions, and regions around black holes. On Earth, gamma waves are generated by nuclear explosions, lightning, and the less dramatic activity of radioactive decay."
http://purl.obolibrary.org/obo/NCIT_C64384	Ultrasound	"An ultrasound is an imaging test that uses sound waves to make pictures of organs, tissues, and other structures inside your body. It allows your health care provider to see into your body without surgery. Ultrasound is also called ultrasonography or sonography. Ultrasound images may be called sonograms."
http://purl.org/utmb/ndkg.owl#KGN_0000098	Sensory Augmentation	"A style of design (particularly, in this context, for education) emphasizing the ways in which technology can be used to alter or augment the human sensory apparatus."
http://purl.org/utmb/ndkg.owl#KGN_0000097	Sleep Deficiencies	Obtaining sleep of insufficient quantity or quality.
http://purl.obolibrary.org/obo/OMIT_0014430	Sympathomimetics	Sympathomimetic drugs (also known as adrenergic drugs and adrenergic amines) are stimulant compounds which mimic the effects of endogenous agonists of the sympathetic nervous system.
http://purl.org/utmb/ndkg.owl#KGN_0000096	Sleep (Inertia)	"Sleep inertia is a transitional state between sleep and wake (i.e., grogginess experienced upon waking), accompanied by cognitive impairment and desire to return to sleep."
http://purl.org/utmb/ndkg.owl#KGN_0000095	Sleep (Risk)	"Risk of Performance Decrements and Adverse Health Outcomes Resulting from Sleep Loss, Circadian Desynchronization, and Work Overload."
http://snomed.info/id/212953005	DCS(Diagnosing Decompression Sickness) I	"Type 1 DCS is usually characterized by musculoskeletal pain and mild cutaneous, or skin, symptoms. Common Type 1 skin manifestations include itching and mild rashes (as distinct from a clear mottled or marbled and sometimes raised discoloration of the skin — a condition that is known as cutis marmorata that may presage the development of the more serious symptoms of Type 2 DCS)."
http://purl.obolibrary.org/obo/NCIT_C114696	Ureterolithiasis	"Ureterolithiasis, also known as ureteral stone, is a medical condition characterized by the presence of a stone or stones within the ureter, which is the tube connecting the kidney to the bladder. These stones can cause pain, obstruction, and infection as they move through the urinary tract or become lodged in the ureter."
http://purl.obolibrary.org/obo/OBI_0400064	Laser	"Device that emits a coherent beam of light typically falling within the ultraviolet, visible, or infrared range of the electromagnetic spectrum."
http://purl.org/utmb/ndkg.owl#KGN_0000160	Bone Fracture (Risk)	Risk of Bone Fracture due to Space flight-induced changes to Bone.
http://purl.org/utmb/ndkg.owl#KGN_0000281	Detect EVA Readiness	"Ability to identify, measure and report the preparedness of equipment and crew to conduct an extravehicular activity (EVA)."
http://purl.org/utmb/ndkg.owl#KGN_0000280	Detect Environmental Conditions	"Ability to identify, measure and report the state of the surroundings"
http://purl.org/utmb/ndkg.owl#KGN_0000043	Orthostatic Intolerance countermeasures	Orthostatic intolerance refers to the inability to remain upright without symptoms. This inability can be associated with cardiovascular changes such as a decrease in blood pressure (BP) in orthostatic hypotension (OH).
http://purl.org/utmb/ndkg.owl#KGN_0000164	Dust (Risk)	Risk of Adverse Health & Performance Effects of Celestial Dust Exposure.
http://purl.org/utmb/ndkg.owl#KGN_0000285	Detect Intracranial Pressure Changes	"Ability to identify, measure and report changes in intracranial pressure."
http://purl.org/utmb/ndkg.owl#KGN_0000042	Vascular Structure	"The vascular system or the circulatory system carries blood and lymph throughout the body. The blood vessels like arteries and veins carry blood throughout the body, transporting oxygen and nutrients to the pheripheral tissues and removing the wastes from target tissues. The lymph vessels filter and drain lymph from the body to maintain the fluid environment."
http://purl.org/utmb/ndkg.owl#KGN_0000163	DCS (Risk)	Risk of Decompression Sickness (DCS).
http://purl.org/utmb/ndkg.owl#KGN_0000284	Detect Immune Changes	"Ability to identify, measure and report the progression of Immune Dysregulation from Persistent Subclinical Immune Dysregulation to Clinically Significant Immune Dysregulation to Medical Illness"
http://purl.org/utmb/ndkg.owl#KGN_0000162	Crew Egress (Risk)	Risk to Vehicle Crew Egress Capability as Applied to Earth and Extraterrestrial Landings.
http://purl.org/utmb/ndkg.owl#KGN_0000283	Detect Hearing Changes	"Ability to identify and measure changes in auditory performance, may use audiometric surveillance or crewmember report."
http://purl.org/utmb/ndkg.owl#KGN_0000161	CO2 (Risk)	Risk of Nominal Acute and Chronic Ambient Carbon.
http://purl.org/utmb/ndkg.owl#KGN_0000282	Detect Events	"Ability to identify, measure and report a notable divergence from what is nominal and/or expected for vehicle, habitat, spacesuit or human systems."
http://purl.org/utmb/ndkg.owl#KGN_0000289	Detect Ocular Structural Changes	"Ability to identify, measure and report ocular structural changes."
http://purl.org/utmb/ndkg.owl#KGN_0000046	Intravascular Volume	"Intravascular volume status refers to the volume of blood in a patient's circulatory system, and is essentially the blood plasma component of the overall volume status of the body, which otherwise includes both intracellular fluid and extracellular fluid."
http://purl.org/utmb/ndkg.owl#KGN_0000288	Detect Noise Levels	"Ability to identify, measure and report ambient noise levels through personal dosimetry and/or static measurement using a sound level meter."
http://addictovocab.org/ADDICTO_0001250	Pharmaceutical Effectiveness	The extent to which a drug achieves its intended (labeled) effect under standard clinical conditions.
http://purl.org/utmb/ndkg.owl#KGN_0000166	Food and Nutrition (Risk)	Risk of Performance Decrement and Crew Illness Due to Inadequate Food and Nutrition.
http://purl.org/utmb/ndkg.owl#KGN_0000287	Detect MRM/Stone	"Ability to identify, measure and report mineralized (MRM) renal material or stones in the urinary tract."
http://purl.org/utmb/ndkg.owl#KGN_0000165	Electrical Shock (Risk)	Risk to Crew Health Due to Electrical Shock.
http://purl.org/utmb/ndkg.owl#KGN_0000286	Detect Long Term Health Outcomes	"Ability to identify, measure and report if any health outcomes have occurred post-space flight or postcareer as a result of their occupational exposures (and resultant immune dysregulation) during space flight or training."
http://purl.org/utmb/ndkg.owl#KGN_0000159	Behavioral (Risk)	Risk of Adverse Cognitive or Behavioral Conditions and Psychiatric Disorders.
http://purl.org/utmb/ndkg.owl#KGN_0000037	Aerobic (Risk)	Risk of Reduced Physical Performance Capabilities due to Reduced Aerobic Capacity.
http://purl.org/utmb/ndkg.owl#KGN_0000158	Neuro/Ocular Injury	"Traumatic brain injury usually results from a violent blow or jolt to the head or body. An object that goes through brain tissue, such as a bullet or shattered piece of skull, also can cause traumatic brain injury."
http://purl.org/utmb/ndkg.owl#KGN_0000279	Detect Dysrhythmia	"Ability to identify, measure and report any abnormal heart rhythm."
http://purl.obolibrary.org/obo/NCIT_C3475	Bone Remodeling	Highly regulated process by which old or damaged bone tissue is removed and replaced with new bone material.
http://purl.org/utmb/ndkg.owl#KGN_0000391	Pharmaceutical Storage Conditions	"Acceptable environmental conditions (temperature, humidity) for storage of medications set forth by the United States Pharmacopeia (USP)."
http://purl.org/utmb/ndkg.owl#KGN_0000274	Detect CO2 Level	"Ability to identify, measure and report the presence and amount of carbon dioxide."
http://purl.org/utmb/ndkg.owl#KGN_0000395	Planned EVA Content	Predetermined tasks expected to be completed during an extravehicular activity.
http://purl.org/utmb/ndkg.owl#KGN_0000152	Team Cohesion	Tendency for a group to operate in a unified fashion while working towards a goal or to satisfy the emotional needs of its members.
http://purl.org/utmb/ndkg.owl#KGN_0000273	Detect BHP Changes	"Ability to identify, measure and report changes in the behavioral and cognitive state of astronauts in the vehicle/habitat/suit."
http://purl.org/utmb/ndkg.owl#KGN_0000394	Physiological Monitoring Capability	"Capability to assess, log, and track aspects of crew health that provide insight into physiologic response to stimuli that is designed into the Crew Health and Performance Systems."
http://purl.org/utmb/ndkg.owl#KGN_0000030	Musculoskeletal Loads	"Forces that are applied to/experienced by the body including forces on the tissues, fluids, or materials of the body."
http://purl.org/utmb/ndkg.owl#KGN_0000151	Team Cognition	"Shared understanding among team members that is related to roles and responsibilities; team norms; familiarity with team members’ knowledge, skills, and abilities; and engaging in team decision-making and problem-solving."
http://purl.org/utmb/ndkg.owl#KGN_0000272	Detect Atmospheric Dust	"Ability to identify, measure and report airborne dust within the habitat to assess concentration."
http://purl.org/utmb/ndkg.owl#KGN_0000393	Physical Status	"Subset of Individual Factors - Refers to the condition of the crewmember at any given time during a mission. Can be affected by injuries, activity level, diet, nutrition, sleep cycle, and workload."
http://purl.org/utmb/ndkg.owl#KGN_0000271	Detect Brain Structual Changes	"Ability to identify, measure and report brain structural changes."
http://purl.org/utmb/ndkg.owl#KGN_0000392	Pharmaceutical Toxicity	The expression of a poisonous or harmful effect a drug can produce.
http://purl.org/utmb/ndkg.owl#KGN_0000157	Musculoskeletal Injuries	"Musculoskeletal disorders (MSD) are injuries or disorders of the muscles, nerves, tendons, joints, cartilage, and spinal discs."
http://purl.org/utmb/ndkg.owl#KGN_0000278	Detect Diagnosis	Ability to correctly detect and identify the cause of any medical issues during a space flight mission.
http://purl.org/utmb/ndkg.owl#KGN_0000035	Dynamic Load (Risk)	Risk of Injury from Dynamic Loads.
http://purl.org/utmb/ndkg.owl#KGN_0000156	Connective Tissue Changes	"Changes to the tissue (bone, cartilage, fat, blood, or lymphatic) that supports, protects, and gives structure to other tissues and organs in the body."
http://purl.org/utmb/ndkg.owl#KGN_0000277	Detect DCS	"Ability to identify, measure and report if there is supersaturation of inert gas in the bloodstream and tissues."
http://purl.org/utmb/ndkg.owl#KGN_0000398	Preflight Hearing Status	The audiometric thresholds obtained prior to flight that quantify auditory performance.
http://purl.org/utmb/ndkg.owl#KGN_0000034	Suit Design	The form and function of the spacesuit to support the operational mission goals and performance environment.
http://purl.org/utmb/ndkg.owl#KGN_0000155	Combustion/Smoldering Events	"Combustion, or burning, is a high-temperature exothermic redox chemical reaction between a fuel (the reductant) and an oxidant, usually atmospheric oxygen, that produces oxidized, often gaseous products, in a mixture termed as smoke."
http://purl.org/utmb/ndkg.owl#KGN_0000276	Detect CV Events	"Ability to identify, measure and report cardiovascular (CV) events in-mission."
http://snomed.info/id/316358009	Lung Injury	Any damage to the upper or lower airways
http://purl.org/utmb/ndkg.owl#KGN_0000033	Muscle (Risk)	"Risk of Impaired Performance Due to Reduced Muscle Size, Strength, and Endurance."
http://purl.org/utmb/ndkg.owl#KGN_0000275	Detect Contamination	"Ability to identify, measure and report harmful, unwholesome, or undesirable, substances in the air, water, food, pharmaceuticals, or surfaces."
http://purl.org/utmb/ndkg.owl#KGN_0000396	Postural Control & Locomotion	"Ability to maintain balance during static postures (lying, sitting, standing) and dynamic movements (walking, tandem walking, jumping)."
http://purl.org/utmb/ndkg.owl#KGN_0000148	Suit Habitability	"Capability of an EVA suit to provide a microenvironment for crew that must provide all the life support, nutrition, hydration, waste, and consumables management function of an actual space vehicle, while allowing crew members to perform mission tasks."
http://purl.org/utmb/ndkg.owl#KGN_0000269	Data Accessibility	The degree to which crew can access and meaningfully use data gathered by spacecraft systems and medical systems.
http://purl.org/utmb/ndkg.owl#KGN_0000026	Central Nervous System Changes	Alterations in Central Nervous System function that may be temporary or persistent.
http://purl.org/utmb/ndkg.owl#KGN_0000268	Crew Vehicle Integration	"What vehicle and systems are fielded, how complex and maintainable they are, and how information on system state is provided back to crew and ground support."
http://purl.org/utmb/ndkg.owl#KGN_0000389	Pharmaceutical Contamination	Harmful or poisonous substances that can be introduced into pharmaceuticals when repackaged.
http://purl.org/utmb/ndkg.owl#KGN_0000061	Medical Prevention Capability	
http://purl.org/utmb/ndkg.owl#KGN_0000060	Endocrine Factors	Endocrine factors are substances produced in one organ or cell type that act at a site that is distinct from the origin.
http://purl.org/utmb/ndkg.owl#KGN_0000180	On Board Expertise	"The collective knowledge, skills, and abilities of the integrated human-system team on the vehicle, especially pertaining to vehicle systems and complex operations."
http://purl.org/utmb/ndkg.owl#KGN_0000065	Post Landing Task Performance	"Ability to carry out post landing tasks in a manner that avoids crew injury. Tasks may include vehicle safing, as well as tasks resulting from off-nominal landings."
http://purl.org/utmb/ndkg.owl#KGN_0000186	Suit Failure	"Compromised function of the suit system possibly due to the unanticipated malfunction of a component, unexpected interaction of subsystems, unintended behavior, or external environmental effect."
http://purl.org/utmb/ndkg.owl#KGN_0000064	HSIA[Human Systems Integration Architecture] (Risk)	"Given need for increasing crew independence and greater operational complexity in future exploration missions, there is a possibility of adverse outcomes associated with deficiencies in Human Systems Integration, specifically that crew are unable to adequately respond to unanticipated critical malfunctions and/or perform safety critical procedures."
http://purl.org/utmb/ndkg.owl#KGN_0000185	Self Administered Rehab	A set of exercises that are designed to incrementally increase in difficulty and challenge the sensorimotor system.
http://purl.org/utmb/ndkg.owl#KGN_0000063	Medical Treatment Capability	
http://purl.org/utmb/ndkg.owl#KGN_0000184	Pre-Mission Food Storage Time	The length of time food has been refrigerated or packaged before a mission. This can range from weeks to years.
http://purl.org/utmb/ndkg.owl#KGN_0000062	Medical Monitoring Capability	
http://purl.org/utmb/ndkg.owl#KGN_0000183	Persistent Subclinical Immune Dysregulation	"Changes in cellular proliferation and function that does not have a known clinical issue directly following it; chronic """"off nominal"""" immune status due to stress, environment, or other mission factors."
http://purl.org/utmb/ndkg.owl#KGN_0000067	Procedure Design	"The plan of action including steps, conditions, and constraints used to complete a specific mission goal."
http://purl.obolibrary.org/obo/HP_0002835	Aspiration	"Pulmonary aspiration is the entry of material such as pharyngeal secretions, food or drink, or stomach contents from the oropharynx or gastrointestinal tract, into the larynx (voice box) and lower respiratory tract, the portions of the respiratory system from the trachea (windpipe) to the lungs."
http://purl.obolibrary.org/obo/NCIT_C190708	Post Voidal Residual	The amount of urine left in the bladder after urination.
http://purl.org/utmb/ndkg.owl#KGN_0000059	Fluid Shifts	A shift in the distribution of human body fluids due to the effects of microgravity.
http://purl.obolibrary.org/obo/NCIT_C114667	Nephrolithiasis	Presence of stones in the urine collection area of the kidney
http://semanticscience.org/resource/SIO_010308	Metabolism	Metabolism refers to the whole sum of reactions that occur throughout the body within each cell and that provide the body with energy. This energy gets used for vital processes and the synthesis of new organicmaterial.
http://snomed.info/id/715239002	Sudden Sensorineural Loss	"An unexplained, rapid loss of hearing (in the inner ear) that occurs all at once or over a few days. One or both ears may be affected."
http://purl.org/utmb/ndkg.owl#KGN_0000171	Landing Profile	"Duration, direction, and magnitude of acceleration that a crewmember experiences during landing on a terrestrial or extraterrestrial surface, arriving on solid ground or in water."
http://purl.org/utmb/ndkg.owl#KGN_0000292	Detect Pressure Changes	"Ability to identify, measure and report the presence of fluctuations in atmospheric pressure."
http://snomed.info/id/240131006	Rhabdomyolysis	Rhabdomyolysis (often called rhabdo) is a serious medical condition that can be fatal or result in permanent disability. Rhabdo occurs when damaged muscle tissue releases its proteins and electrolytes into the blood. These substances can damage the heart and kidneys and cause permanent disability or even death.
http://purl.org/utmb/ndkg.owl#KGN_0000170	Hematologic Index Alterations	Changes in the absolute or relative proportions of the blood constituents.
http://purl.org/utmb/ndkg.owl#KGN_0000291	Detect Post Void Residual	"Ability to identify, measure and report on the amount of urine in the bladder following urination."
http://purl.org/utmb/ndkg.owl#KGN_0000290	Detect Physiological Changes	"Ability to identify, measure and report the cellular, molecular, physiologic, pathologic, and functional changes that occur in individual astronauts during a space flight mission."
http://purl.org/utmb/ndkg.owl#KGN_0000054	Chondrocyte Metabolism	"Chondrocyte metabolism is normally oxidative phosphorylation. If the microenvironment around the cartilage changes (usually inflammatory changes), then it results in a shift in the chondrocyte metabolism to glycolysis."
http://purl.org/utmb/ndkg.owl#KGN_0000296	Detect Toxic Exposure	"Ability to identify, measure and report specific toxic compounds of potential concern."
http://purl.org/utmb/ndkg.owl#KGN_0000295	Detect Thrombosis	"Ability to identify, measure and report the presence of a clot within a blood vessel."
http://purl.org/utmb/ndkg.owl#KGN_0000173	Mineralized Renal Material	"Nascent areas of renal calcification detected by ultrasound; five characteristics help define MRM: shadowing, Doppler twinkle, frequency dispersion, size, and anatomic location."
http://purl.org/utmb/ndkg.owl#KGN_0000294	Detect Team Performance & Cohesion	"Ability to identify, measure and report the changes in crew performance and cohesion over time using monitoring tools."
http://snomed.info/id/462956002	Shielding	"A barrier between a source of radiation and a potential target (e.g., the astronaut); shielding can be solid, liquid or gas which absorbs the energy of the radiation."
http://purl.org/utmb/ndkg.owl#KGN_0000293	Detect Radiation	"Ability to identify, measure and report the level of ionizing radiation."
http://purl.org/utmb/ndkg.owl#KGN_0000058	Cardiovascular (Risk)	"CV risk is defined as the likelihood of a person to develop an ASCVD event over a defined period of time, and it combines the effects of a number of risk factors."
http://purl.org/utmb/ndkg.owl#KGN_0000179	Nutrient Toxicity	Nutrient toxicity occurs when an element is in excess of plant needs and decreases plant growth or quality.
http://snomed.info/id/39021009	Refractive Error Shift	"Refractive error is a problem with focusing light accurately on the retina due to the shape of the eye and/or cornea. The most common types of refractive error are near-sightedness, far-sightedness, astigmatism, and presbyopia."
http://purl.org/utmb/ndkg.owl#KGN_0000299	Diagnose Rhabdomyolysis	Identification of the destruction or degeneration of muscle tissue and the accompanied release of breakdown products into the bloodstream.
http://purl.org/utmb/ndkg.owl#KGN_0000056	Detect Bone Structural Changes	"Ability to identify, measure and report changes (beyond measurement error) in 3D distribution of bone tissue over time with serial measurements of whole, cortical, and trabecular bones."
http://purl.org/utmb/ndkg.owl#KGN_0000177	Net Habitable Volume	"The functional volume left available on a spacecraft after accounting for the loss of volume caused by deployed equipment, stowage, trash, and any other items that decrease the functional volume."
http://purl.org/utmb/ndkg.owl#KGN_0000298	Diagnose Events	"Ability to identify the cause of an anomalous event thereby enabling appropriate maintenance and repair for vehicle, habitat, spacesuit or human systems."
http://purl.obolibrary.org/obo/NCIT_C263	Anticoagulants	"An anticoagulant, commonly known as a blood thinner, is a chemical substance that prevents or reduces coagulation of blood, prolonging the clotting time."
http://purl.org/utmb/ndkg.owl#KGN_0000055	Detect Atmospheric Changes	"Ability to identify, measure and report changes in bone mineral distribution in a 2D image (g/cm2) or 3D volume (g/cm3) of bone tissue over time."
http://purl.org/utmb/ndkg.owl#KGN_0000176	Muscle Performance	"Muscle Performance refers to the capacity of the muscle to do work. The key elements of muscle performance are strength, power and endurance."
http://purl.org/utmb/ndkg.owl#KGN_0000297	Detect Visual Changes	"Ability to identify, measure and report visual performance decrements."
http://purl.obolibrary.org/obo/NCIT_C389	Oral Contraceptives	A group of hormone containing substances (estrogen and progestin) that are used in menstrual management and pregnancy prevention.
http://purl.org/utmb/ndkg.owl#KGN_0000049	Fall Height	The fall height denotes the height from which the fall victim hits the ground or a different surface during a fall. The selection of the right dimensions for the suitable fall protection systems thus depends on the fall height and each specific work situation.
http://purl.org/utmb/ndkg.owl#KGN_0000169	Globe Flattening	"Structural deformation (flattening) of the posterior side of the eyeball, typically centered at the insertion point of the optic nerve into the globe."
http://snomed.info/id/27997000	Organ Perfusion	"Under or over perfusion of organs, possibly contributing to ischemia or organ damage."
http://purl.obolibrary.org/obo/NCIT_C26037	Food Safety	Food safety encompasses the conditions and practices observed to preserve the safety and quality of food to prevent food contamination and food-borne illness.
http://purl.obolibrary.org/obo/NCIT_C156809	Medical Illness	"State of complete physical, mental, and social well-being and not merely the absence of disease, or infirmity."
http://purl.obolibrary.org/obo/NCIT_C2861	Side Effects	Unwanted or undesirable effects related to a drug. Also known as adverse effects.
http://purl.obolibrary.org/obo/NCIT_C61044	Urine Chemistry	"The levels of stone-promoting substances (Ca, oxalate, uric acid, pH) in the urine and its pH."
http://purl.obolibrary.org/obo/VT_0000348	Aerobic Fitness	Fitness is defined as the quality or state of being fit and healthy.
http://purl.obolibrary.org/obo/MMO_0000363	DXA	"Dual-energy X-ray absorptiometry (DXA), an x-raybased test that measures bone mineral in a 2D projected image of bone tissue."
http://purl.obolibrary.org/obo/NCIT_C128320	Infection	Invasion and multiplication of microorganisms in body tissues.
http://purl.obolibrary.org/obo/OMIT_0002288	Anthropometry	"Anthropometry is the science that defines physical measures of a person’s size, form, and functional capacities. Applied to occupational injury prevention, anthropometric measurements are used to study the interaction of workers with tasks, tools, machines, vehicles, and personal protective equipment — especially to determine the degree of protection against dangerous exposures, whether chronic or acute."
http://purl.obolibrary.org/obo/NCIT_C15299	Pharmacokinetics	"Pharmacokinetics, sometimes described as what the body does to a drug, refers to the movement of drug into, through, and out of the body—the time course of its absorption, bioavailability, distribution, metabolism, and excretion."
http://www.ebi.ac.uk/efo/EFO_0003931	Bone Fracture	"A bone fracture is the medical definition for a broken bone. Fractures are usually caused by traumas like falls, car accidents or sports injuries."
http://snomed.info/id/58607005	Neutrons	"A subatomic particle of about the same mass as a proton but without an electric charge, present in all atomic nuclei except those of ordinary hydrogen."
http://purl.obolibrary.org/obo/NCIT_C38045	Catheterization	"Introduction of a catheter, a tubular, flexible instrument, passed into the body for withdrawal of fluids from (or introduction of fluids into) a blood vessel a body cavity."
http://purl.obolibrary.org/obo/ExO_0000077	Biological Response	the response of a living tissue or organism to a stimulus.
http://purl.obolibrary.org/obo/NCIT_C161405	QCT	"Quantitative Computed Tomography (QCT), an x-ray based diagnostic test that measures bone mineral in a 3D volume of bone tissue."
http://purl.obolibrary.org/obo/RBO_00000027	Galactic Cosmic Radiation	Galactic Cosmic Radiation (GCR) is a dominant source of radiation that must be dealt with aboard current spacecraft and future space missions within our solar system. GCR comes from outside the solar system but primarily from within our Milky Way galaxy.
http://purl.obolibrary.org/obo/NCIT_C88206	Humidity	"Humidity is the concentration of water vapor present in the air. Water vapor, the gaseous state of water, is generally invisible to the human eye."
http://purl.obolibrary.org/obo/NCIT_C118727	Visual Field Defect	Dysfunction in central or peripheral vision.
http://purl.obolibrary.org/obo/NCIT_C28495	Motivation	"Motivation is a word used to refer to the reason or reasons for engaging in a particular behavior, especially human behavior as studied in psychology and neuropsychology."
http://purl.obolibrary.org/obo/OMIT_0024256	Thiazides	Any of a group of drugs used as oral diuretics especially in the control of high blood pressure
http://purl.obolibrary.org/obo/OMIT_0027505	Recycling	Recycling is the process of converting waste materials into new materials and objects. This concept often includes the recovery of energy from waste materials. The recyclability of a material depends on its ability to reacquire the properties it had in its original state.
http://purl.obolibrary.org/obo/NCIT_C168284	Dysrhythmia	"Dysrhythmia may refer to:Circadian dysrhythmias, disturbances of circadian (daily) rhythms including jet lag and disturbed sleep timing Cardiac dysrhythmia, a medical condition causing irregular heart rate, also called arrhythmia."
http://purl.obolibrary.org/obo/NCIT_C34824	Motion Sickness	Vestibular disturbance leading to nausea and/or vomiting.
http://purl.obolibrary.org/obo/OMIT_0019903	Probiotics	"Probiotics are live microorganisms that are intended to have health benefits when consumed or applied to the body. They can be found in yogurt and other fermented foods, dietary supplements, and beauty products."
http://purl.obolibrary.org/obo/NCIT_C443	Bisphosphonates	"Bisphosphonates are a class of drugs that prevent the loss of bone density, used to treat osteoporosis and similar diseases."
http://purl.obolibrary.org/obo/OMIT_0006712	Food Contamination	"Refers to foods that have been corrupted by a physical, biological, or chemical substance that renders the food unfit or unsafe for consumption."
http://purl.obolibrary.org/obo/FOODON_03530206	Food Production	"The process of converting raw materials into edible food fit for human consumption including cultivating, crop management, harvesting, cleaning, fermenting, slicing, processing, packaging, etc."
http://purl.obolibrary.org/obo/OMIT_0014339	Sunlight	"Sunlight is a portion of the electromagnetic radiation given off by the Sun, in particular infrared, visible, and ultraviolet light. On Earth, sunlight is scattered and filtered through Earth's atmosphere, and is obvious as daylight when the Sun is above the horizon."
http://snomed.info/id/241976004	Ebullism	Ebullism is the spontaneous evolution of liquid water in tissues to water vapor at body temperature when the ambient pressure is 47 mmHg or less.
http://purl.obolibrary.org/obo/NCIT_C19691	Cancer Model	A health-effects model intended to provide estimates of cancer risk and uncertainties for defined space radiation exposure scenarios.
http://purl.obolibrary.org/obo/HP_0012378	Fatigue	"Weariness, exhaustion, or decreased attention. May result in decreased ability to perform mental or physical tasks."
